,CustomerKey,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday,Age,Age Group
0,301,FEMALE,Lilly Harding,Wandearah East,SA,South Australia,05523,Australia,Australia,1939-07-03,85,60+
1,325,FEMALE,Madison Hull,Mount Budd,WA,Western Australia,06522,Australia,Australia,1979-09-27,45,40-50
2,554,FEMALE,Claire Ferres,Winjallok,VI,Victoria,03380,Australia,Australia,1947-05-26,77,60+
3,786,MALE,Jai Poltpalingada,Middle River,SA,South Australia,05223,Australia,Australia,1957-09-17,67,60+
4,1042,MALE,Aidan Pankhurst,Tawonga South,VI,Victoria,03698,Australia,Australia,1965-11-19,59,50-60
5,1086,MALE,Hayden Clegg,Templers,SA,South Australia,05371,Australia,Australia,1954-01-20,70,60+
6,1133,MALE,Nicholas Caffyn,Jubilee Pocket,QL,Queensland,04802,Australia,Australia,1969-11-22,55,50-60
7,1256,MALE,Lincoln Jenks,Kullogum,QL,Queensland,04660,Australia,Australia,1950-03-12,74,60+
8,1314,MALE,Isaac Israel,Edith River,NT,Northern Territory,00852,Australia,Australia,1965-12-21,58,50-60
9,1568,MALE,Luke Virtue,Kotta,VI,Victoria,03565,Australia,Australia,1975-07-25,49,40-50
10,1585,FEMALE,Anna Hallstrom,Green Lake,VI,Victoria,03401,Australia,Australia,1990-08-12,34,30-40
11,1626,FEMALE,Mary Leach,Neds Corner,VI,Victoria,03496,Australia,Australia,1985-10-17,39,30-40
12,1642,FEMALE,Ruby Ambrose,Tarlo,NS,New South Wales,02580,Australia,Australia,1965-03-03,59,50-60
13,1677,MALE,Dean Innes,Ellesmere,QL,Queensland,04610,Australia,Australia,1964-11-22,60,60+
14,1817,FEMALE,Laura Le Rennetel,Beauchamp,VI,Victoria,03579,Australia,Australia,1986-07-10,38,30-40
15,1863,FEMALE,Chelsea Watkins,Nambour Dc,QL,Queensland,04560,Australia,Australia,1984-09-22,40,40-50
16,1945,MALE,Angus Beaurepaire,Greenfields,WA,Western Australia,06210,Australia,Australia,1974-09-20,50,50-60
17,2238,FEMALE,Isabelle Cochran,Brucknell,VI,Victoria,03268,Australia,Australia,1969-10-31,55,50-60
18,2248,MALE,Rory Spargo,Jung,VI,Victoria,03401,Australia,Australia,1987-12-15,37,30-40
19,2435,FEMALE,Lilian Hall,Blakebrook,NS,New South Wales,02480,Australia,Australia,1968-04-01,56,50-60
20,2469,FEMALE,Phoebe Kneeshaw,Bidwill,QL,Queensland,04650,Australia,Australia,1948-05-20,76,60+
21,2512,FEMALE,Matilda Hake,Bunkers Hill,VI,Victoria,03352,Australia,Australia,1992-11-13,32,30-40
22,2604,FEMALE,Claudia Davison,Kubin Village,QL,Queensland,04875,Australia,Australia,1995-04-08,29,18-30
23,2751,MALE,Nate Lowes,Callide,QL,Queensland,04715,Australia,Australia,1979-08-20,45,40-50
24,2792,MALE,Zachary Perkin,Bamganie,VI,Victoria,03333,Australia,Australia,1976-08-25,48,40-50
25,2836,MALE,Nicholas Shand,Gordonbrook,QL,Queensland,04610,Australia,Australia,1959-02-23,65,60+
26,3002,MALE,Joshua Aronson,Smithton,TA,Tasmania,07330,Australia,Australia,2000-11-08,24,18-30
27,3006,FEMALE,Alica Stuckey,Hartley,NS,New South Wales,02790,Australia,Australia,1943-01-13,81,60+
28,3203,MALE,Aidan Kane,Argenton,NS,New South Wales,02284,Australia,Australia,1998-08-18,26,18-30
29,3270,MALE,Hunter Templeton,Central Tilba,NS,New South Wales,02546,Australia,Australia,1948-05-02,76,60+
30,3327,FEMALE,Alannah Le Messurier,Konongwootong,VI,Victoria,03315,Australia,Australia,1948-04-28,76,60+
31,3410,MALE,Will Armitage,Bollon,QL,Queensland,04488,Australia,Australia,1950-05-12,74,60+
32,3575,MALE,Noah McFarland,Hoppers Crossing,VI,Victoria,03029,Australia,Australia,1942-03-04,82,60+
33,3964,FEMALE,Rose Code,Dixie,VI,Victoria,03265,Australia,Australia,1944-02-16,80,60+
34,4004,FEMALE,Piper Wrixon,Wyalla Plaza,QL,Queensland,04350,Australia,Australia,1995-06-24,29,18-30
35,4174,FEMALE,Rebecca Yelverton,Ocean Reef,WA,Western Australia,06027,Australia,Australia,1990-10-05,34,30-40
36,4633,FEMALE,Victoria Brown,Keysland,QL,Queensland,04612,Australia,Australia,1964-01-08,60,60+
37,4734,MALE,Justin Felan,Parmelia,WA,Western Australia,06167,Australia,Australia,1946-02-13,78,60+
38,4808,MALE,Jamie Evenden,Haywards Bay,NS,New South Wales,02530,Australia,Australia,1944-06-28,80,60+
39,4811,MALE,Brayden Bulcock,Widgiemooltha,WA,Western Australia,06443,Australia,Australia,1994-12-21,29,18-30
40,5097,FEMALE,Bella Foley,Mount Pleasant,QL,Queensland,04740,Australia,Australia,1942-11-13,82,60+
41,5445,MALE,Jake Clibborn,Reefton,VI,Victoria,03799,Australia,Australia,1952-09-10,72,60+
42,5962,MALE,Aiden Dugdale,Swan Bay,NS,New South Wales,02324,Australia,Australia,1938-11-17,86,60+
43,6193,FEMALE,Lara Cassidy,Regency Park,SA,South Australia,05010,Australia,Australia,1945-12-27,78,60+
44,6242,MALE,Cody Grosse,Koomberkine,WA,Western Australia,06461,Australia,Australia,1964-02-10,60,60+
45,6258,MALE,Zac Hull,Sandford,VI,Victoria,03312,Australia,Australia,1976-07-03,48,40-50
46,6308,MALE,Taj Sexton,Kooreh,VI,Victoria,03478,Australia,Australia,2001-02-15,23,18-30
47,6459,MALE,Mitchell Leigh,Keilor Downs,VI,Victoria,03038,Australia,Australia,1942-05-24,82,60+
48,6794,FEMALE,Abby Hyam,Calder,TA,Tasmania,07325,Australia,Australia,1971-02-06,53,50-60
49,7109,MALE,Hamish Bolton,Lankeys Creek,NS,New South Wales,02644,Australia,Australia,1979-11-15,45,40-50
50,7122,FEMALE,Lara Virtue,Higginsville,WA,Western Australia,06443,Australia,Australia,1999-08-13,25,18-30
51,7313,FEMALE,Chelsea Keast,Kanmantoo,SA,South Australia,05252,Australia,Australia,1990-01-26,34,30-40
52,7398,MALE,Jonathan Thorpe,Cooee Bay,QL,Queensland,04703,Australia,Australia,1945-06-10,79,60+
53,7493,MALE,Declan Torrens,Noorindoo,QL,Queensland,04417,Australia,Australia,1978-07-20,46,40-50
54,7494,MALE,Ben Coventry,Hyde Park,QL,Queensland,04812,Australia,Australia,1967-04-02,57,50-60
55,7566,MALE,William Prenzel,Killara,VI,Victoria,03691,Australia,Australia,1993-07-01,31,30-40
56,7664,MALE,Riley Gaffney,Canowie,SA,South Australia,05419,Australia,Australia,1947-03-18,77,60+
57,7700,MALE,Lucas Keenan,Stanwell Tops,NS,New South Wales,02508,Australia,Australia,1975-01-27,49,40-50
58,7725,FEMALE,Anna Prerauer,Currimundi,QL,Queensland,04551,Australia,Australia,1968-01-06,56,50-60
59,7783,FEMALE,Charli Gullett,Mount Wallace,VI,Victoria,03342,Australia,Australia,1961-08-13,63,60+
60,8098,FEMALE,Alana Belt,South Greenough,WA,Western Australia,06528,Australia,Australia,1967-01-26,57,50-60
61,8181,FEMALE,Amelie Nairn,Dartmouth,VI,Victoria,03701,Australia,Australia,1985-07-08,39,30-40
62,8220,MALE,David Blanch,Vista,SA,South Australia,05091,Australia,Australia,1945-07-29,79,60+
63,8789,FEMALE,Layla Mackellar,Kalkarindji,NT,Northern Territory,00852,Australia,Australia,1999-07-13,25,18-30
64,8794,FEMALE,Abbey Lempriere,Boulder Creek,QL,Queensland,04714,Australia,Australia,1962-11-02,62,60+
65,8945,FEMALE,Summer MacMahon,Warumbul,NS,New South Wales,02229,Australia,Australia,1939-06-28,85,60+
66,9167,MALE,Luke Bushby,Paracombe,SA,South Australia,05132,Australia,Australia,1975-12-02,49,40-50
67,9184,MALE,Sam Zimpel,Corunnun,VI,Victoria,03249,Australia,Australia,1964-11-24,60,60+
68,9360,MALE,Mitchell Adam,Moparrabah,NS,New South Wales,02440,Australia,Australia,1955-01-30,69,60+
69,9370,FEMALE,Ruby Lock,Cook,AC,Australian Capital Territory,02614,Australia,Australia,1953-05-26,71,60+
70,9389,FEMALE,Eliza Brophy,Yearinan,NS,New South Wales,02357,Australia,Australia,1956-04-08,68,60+
71,9456,MALE,Ryder Abdullah,Claredale,QL,Queensland,04807,Australia,Australia,1941-05-21,83,60+
72,9812,FEMALE,Kaitlyn Morshead,Minjary,NS,New South Wales,02720,Australia,Australia,1953-01-23,71,60+
73,9915,FEMALE,Ebony Buxton,Seppings,WA,Western Australia,06330,Australia,Australia,1991-11-10,33,30-40
74,10039,FEMALE,Brianna Hann,Nikenbah,QL,Queensland,04655,Australia,Australia,1947-10-22,77,60+
75,10189,FEMALE,Alexis Birchell,Forest Reefs,NS,New South Wales,02798,Australia,Australia,1962-04-07,62,60+
76,10276,MALE,Angus Bardolph,Bateau Bay,NS,New South Wales,02261,Australia,Australia,1972-11-01,52,50-60
77,10299,MALE,Anthony Macvitie,Beelbangera,NS,New South Wales,02680,Australia,Australia,1937-05-27,87,60+
78,10332,MALE,James Burnage,Palmyra,WA,Western Australia,06157,Australia,Australia,1937-03-26,87,60+
79,10393,MALE,Nicholas Moncrieff,Rosenthal Heights,QL,Queensland,04370,Australia,Australia,1981-11-29,43,40-50
80,10395,MALE,Cameron Dillon,Stratherne,WA,Western Australia,06309,Australia,Australia,1996-02-25,28,18-30
81,10481,FEMALE,Piper Maudsley,Cells River,NS,New South Wales,02324,Australia,Australia,1977-04-17,47,40-50
82,10504,MALE,Daniel Rusconi,South Datatine,WA,Western Australia,06317,Australia,Australia,1980-10-22,44,40-50
83,10717,MALE,Harrison Ingram,Maya,WA,Western Australia,06614,Australia,Australia,1981-06-16,43,40-50
84,11035,FEMALE,Makayla Meldrum,Kings Forest,NS,New South Wales,02487,Australia,Australia,1939-12-08,85,60+
85,11090,FEMALE,Scarlett Scollen,Silverwater,NS,New South Wales,02128,Australia,Australia,1953-01-20,71,60+
86,11587,MALE,Andrew Fenbury,York,WA,Western Australia,06302,Australia,Australia,1977-11-09,47,40-50
87,11736,FEMALE,Summer Brownrigg,Yarrabilba,QL,Queensland,04207,Australia,Australia,1991-01-22,33,30-40
88,12084,MALE,Toby Chauvel,Galga,SA,South Australia,05308,Australia,Australia,1958-07-20,66,60+
89,12160,MALE,Jett Creal,Oakhurst,NS,New South Wales,02761,Australia,Australia,1956-09-05,68,60+
90,12162,FEMALE,Eva Lavarack,Whittington,VI,Victoria,03219,Australia,Australia,1954-07-30,70,60+
91,12207,MALE,Aiden Jull,Ogmore,QL,Queensland,04706,Australia,Australia,1955-11-30,69,60+
92,12256,FEMALE,Lilly Lynn,Rothbury,NS,New South Wales,02320,Australia,Australia,1991-03-07,33,30-40
93,12365,FEMALE,Natalie Lyon,Steeple Flat,NS,New South Wales,02631,Australia,Australia,1958-04-06,66,60+
94,12385,FEMALE,Lily Gribble,Overland Corner,SA,South Australia,05330,Australia,Australia,1981-06-10,43,40-50
95,12392,FEMALE,Laura Waterhouse,Greenhill,SA,South Australia,05140,Australia,Australia,1957-03-08,67,60+
